Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220uF","C_ALU_D12.5_L25_THT",125.000000,-120.000000,-90.000000,top
"C2","220uF","C_ALU_D12.5_L25_THT",146.000000,-120.000000,-90.000000,top
"C3","220uF","C_ALU_D12.5_L25_THT",125.000000,-135.000000,90.000000,top
"C4","220uF","C_ALU_D12.5_L25_THT",146.000000,-135.000000,90.000000,top
"C5","220uF","C_ALU_D12.5_L25_THT",146.000000,-75.000000,90.000000,top
"C6","220uF","C_ALU_D12.5_L25_THT",125.000000,-90.000000,-90.000000,top
"C7","220uF","C_ALU_D12.5_L25_THT",146.000000,-90.000000,-90.000000,top
"C8","220uF","C_ALU_D12.5_L25_THT",125.000000,-75.000000,90.000000,top
"J1","FCR7350Y","S16N-PC-YELLOW",91.000000,-76.500000,0.000000,top
"J2","FCR7350R","S16N-PC-RED",91.000000,-133.500000,0.000000,top
"J3","FCR7350B","S16N-PC-BLACK",91.000000,-95.500000,0.000000,top
"J4","SMA Jack","SMA-J-P-H-ST-TH1",172.000000,-148.000000,0.000000,top
"J5","FCR7350R","S16N-PC-RED",175.640000,-133.450000,180.000000,top
"J6","FCR7350B","S16N-PC-BLACK",175.640000,-95.500000,180.000000,top
"J7","FCR7350Y","S16N-PC-YELLOW",175.650000,-76.500000,180.000000,top
"J8","FCR7350B","S16N-PC-BLACK",91.000000,-114.500000,0.000000,top
"J9","FCR7350B","S16N-PC-BLACK",175.640000,-114.500000,180.000000,top
"J10","SMA Jack","SMA-J-P-H-ST-TH1",172.000000,-62.000000,0.000000,top
"J11","~","5-146252-1",139.000000,-106.040000,90.000000,top
"L1","250uH","744224",109.750000,-121.500000,90.000000,top
"L2","250uH","744224",109.750000,-110.500000,90.000000,top
"L3","250uH","744224",109.750000,-99.500000,90.000000,top
"L4","250uH","744224",109.750000,-88.500000,90.000000,top
"R1","0R","R_1206_3216Metric",161.500000,-133.500000,0.000000,top
"R2","5R","R_0603_1608Metric",161.905000,-61.900000,180.000000,top
"R3","0R","R_1206_3216Metric",161.500000,-76.500000,0.000000,top
"R4","0R","R_1206_3216Metric",101.000000,-133.500000,0.000000,top
"R5","49.9R","R_0603_1608Metric",165.000000,-62.725000,-90.000000,top
"R6","0R","R_1206_3216Metric",101.000000,-76.500000,0.000000,top
"R7","49.9R","R_0603_1608Metric",164.800000,-148.800000,-90.000000,top
"R8","5R","R_0603_1608Metric",161.675000,-147.975000,180.000000,top
"TP1","+Vinjected","KeystoneMiniatureTestLoop",158.000000,-148.000000,0.000000,top
"TP2","+Vout","KeystoneMiniatureTestLoop",166.000000,-133.500000,0.000000,top
"TP3","GND","KeystoneMiniatureTestLoop",166.000000,-105.000000,0.000000,top
"TP4","-Vout","KeystoneMiniatureTestLoop",166.000000,-76.500000,0.000000,top
"TP7","+Vsupply","KeystoneMiniatureTestLoop",106.000000,-133.500000,0.000000,top
"TP8","GND","KeystoneMiniatureTestLoop",101.000000,-105.000000,0.000000,top
"TP9","-Vsupply","KeystoneMiniatureTestLoop",106.000000,-76.500000,0.000000,top
"TP12","-Vinjected","KeystoneMiniatureTestLoop",158.000000,-61.900000,0.000000,top
